date,sumLNCapacity
2024-01-18,20371165980
2024-01-19,20569065980
2024-01-24,20682405310
2024-01-26,20672405310
2024-01-27,20672405310
2024-01-28,20682705310
2024-01-29,20682705310
2024-01-30,20682705310
2024-01-31,20682805310
2024-02-01,20682705310
2024-02-02,20682705310
2024-02-03,20682705310
2024-02-04,20682705310
2024-02-05,20682205310
2024-02-06,20682205310
2024-02-07,20682205310
2024-02-08,20682205310
2024-02-09,20682205310
2024-02-10,20682205310
2024-02-11,20682205310
2024-02-12,20682205310
2024-02-13,20684105310
2024-02-14,20557118280
2024-02-15,20557218280
2024-02-16,20557218280
2024-02-17,20688797610
2024-02-18,20687797610
2024-02-19,20687797610
2024-02-20,20687797610
2024-02-21,20688797610
2024-02-22,20648797610
2024-02-23,20648797610
2024-02-24,20653990340
2024-02-25,20653990340
2024-02-26,20664090340
2024-02-29,20664690340
2024-03-01,19201297887
2024-03-02,19201297887
2024-03-03,19201297887
2024-03-04,19201297887
2024-03-05,19013297887
2024-03-06,19021297887
2024-03-07,19029297887
2024-03-08,19029297887
2024-03-09,19029297887
2024-03-10,19029297887
2024-03-11,19028997887
2024-03-12,19028997887
2024-03-13,19226917217
2024-03-14,19276917217
2024-03-15,19276917217
2024-03-16,19276917217
2024-03-17,19276917217
2024-03-18,19276917217
2024-03-19,19327917217
2024-03-20,19357917217
