,last_update,pub_key,alias,addresses,color,features.0.name,features.0.is_required,features.0.is_known,features.5.name,features.5.is_required,features.5.is_known,features.7.name,features.7.is_required,features.7.is_known,features.9.name,features.9.is_required,features.9.is_known,features.12.name,features.12.is_required,features.12.is_known,features.14.name,features.14.is_required,features.14.is_known,features.17.name,features.17.is_required,features.17.is_known,features.31.name,features.31.is_required,features.31.is_known,features.13.name,features.13.is_required,features.13.is_known,features.15.name,features.15.is_required,features.15.is_known,features.45.name,features.45.is_required,features.45.is_known,outCount,outCapacity,inCount,inCapacity,chCount
86,1683562754,02ba6a1c672c01bfe0348f08b2e25739dae30f704279a49a51ca53c36f0c17fa7d,02ba6a1c672c01bfe034,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,2.0,50000000.0,0.0,0.0,2.0
84,1684158090,02b1772b04520ee3911f1366bc5eb60a582c6acf10fe538dff5098070e143f1fde,02b1772b04520ee3911f,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,1.0,1000000.0,0.0,0.0,1.0
199,1698807987,03d46298025517ec002aad743229c4ad0a64614b2eee76a003b4d5c82a436b0334,03d46298025517ec002a,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,,,,,,,,,,,,,0.0,0.0,1.0,100000000.0,1.0
25,1683991665,022b2b525e39f2e4872597aaed129e1af31d1dd44b8b10c25b1f2ac8680c573fc8,022b2b525e39f2e48725,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,1.0,5000000.0,0.0,0.0,1.0
197,1696971534,03d0e43d251567705df829fe4dda115637a8c8c1e980adcece3ecfbd62b8ab6ca3,03d0e43d251567705df8,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,0.0,0.0,1.0,1000000.0,1.0
196,1680199938,03ce1a9762a761137eef99e7d80433149a4b0f1704ddc18e2a9b28dcc306b61607,03ce1a9762a761137eef,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,0.0,0.0,1.0,50000.0,1.0
27,1680145909,022e96b1bc7a6e4fd12aa9c6bab692160f7bde7fe0cb8b688b4a63d5daac0f891d,022e96b1bc7a6e4fd12a,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,1.0,700000.0,0.0,0.0,1.0
85,1693138675,02b45ec18b5d3b64ced37c2e0378afe288bc0e5d356d51cc3582a7ba79d102c344,02b45ec18b5d3b64ced3,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,1.0,9000000.0,0.0,0.0,1.0
107,1707048939,02e37ee91fc85ccf9dc45771b436f06f9a9a4c84b8210be8ad518f72de5e38ed56,02e37ee91fc85ccf9dc4,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,unknown,False,False,,,,,,,,,,1.0,4000000.0,0.0,0.0,1.0
126,0,030a560935cd5d27ade70c7d45d61c46a5cccaacbf26ecfe26886755c622f72fce,,[],#000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,21100000.0,0.0,0.0,1.0
